index,win,baronFirst,baronKills,championFirst,championKills,dragonFirst,hordeFirst,inhibitorFirst,inhibitorKills,riftHeraldFirst,riftHeraldKills,towerFirst,towerKills,dragonKills_0,dragonKills_1,dragonKills_2,dragonKills_3,dragonKills_4,dragonKills_5,dragonKills_6,hordeKills_0,hordeKills_1,hordeKills_2,hordeKills_3,hordeKills_4,hordeKills_5,hordeKills_6
NA1_4939802016,False,False,0,False,0,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4939329338,False,False,0,False,21,True,False,False,0,True,1,True,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4939294961,True,False,0,True,34,True,True,True,2,True,1,True,9,False,False,False,False,True,False,False,False,False,False,False,True,False,False
NA1_4944147793,True,True,1,True,42,True,False,True,3,True,1,True,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False
NA1_4939533963,True,False,0,True,22,False,True,False,0,False,0,True,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False
NA1_4936771780,False,False,0,False,35,False,False,True,1,True,1,False,8,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4935519520,True,False,0,True,24,True,False,True,1,False,0,True,6,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NA1_4935499948,True,True,1,False,22,False,True,False,0,True,1,False,7,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4933123567,False,False,0,False,17,False,False,False,0,False,0,True,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4933110227,False,False,0,False,11,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4933101800,False,False,0,True,7,True,False,False,0,False,0,False,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False
NA1_4932224317,True,True,2,False,45,False,True,True,3,True,1,False,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4932196390,True,False,1,True,34,True,False,False,1,False,0,False,8,False,False,False,False,True,False,False,True,False,False,False,False,False,False
NA1_4931240205,False,False,0,True,36,False,False,False,0,False,0,False,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4931217167,True,True,2,False,49,False,False,True,2,False,0,True,10,False,False,False,True,False,False,False,False,True,False,False,False,False,False
NA1_4931208833,False,False,0,False,13,False,True,False,0,False,0,False,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4931193473,False,False,0,False,12,False,False,False,0,True,1,True,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4930308373,False,False,0,False,34,True,False,False,0,False,0,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4930296283,False,False,0,False,26,True,True,False,0,True,1,False,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NA1_4930290814,False,True,2,True,36,True,True,True,2,True,1,True,10,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4929438880,True,True,1,True,34,False,False,False,0,False,0,False,5,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4928913896,True,True,1,True,55,False,False,True,4,True,1,True,10,False,False,False,False,True,False,False,False,True,False,False,False,False,False
NA1_4928886139,False,False,0,False,38,False,False,False,0,False,0,False,5,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4927910454,True,False,0,True,30,True,True,True,2,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4927899757,True,False,0,False,28,False,False,True,2,True,1,False,10,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA1_4927844447,True,True,1,True,42,True,True,True,3,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,False,True,False
NA1_4927834701,False,False,0,True,6,False,False,False,0,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4927828242,True,False,0,True,18,True,True,False,0,False,0,True,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4927819308,False,False,0,True,31,False,True,False,0,True,1,False,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4927806439,False,False,0,False,42,False,False,False,1,False,0,False,8,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4927796503,False,False,1,True,23,True,False,False,0,True,1,True,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4927796841,True,False,0,True,28,False,True,False,0,False,0,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4925828368,True,False,0,True,12,True,False,False,0,True,1,True,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4925817259,False,False,0,False,23,False,False,False,0,True,1,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False
